lon,lat,date,outage_freq
68.1425386,37.26728663,2016-11-20,3
68.1425386,37.26728663,2016-11-22,1
68.1425386,37.26728663,2016-11-23,3
68.1425386,37.26728663,2016-11-24,3
68.1425386,37.26728663,2016-11-25,3
68.1425386,37.26728663,2016-11-26,3
68.1425386,37.26728663,2016-11-27,3
68.1425386,37.26728663,2016-11-28,3
68.1425386,37.26728663,2016-11-29,3
68.1425386,37.26728663,2016-12-01,1
68.1425386,37.26728663,2016-12-02,3
68.1425386,37.26728663,2016-12-03,3
68.1425386,37.26728663,2016-12-04,3
68.1425386,37.26728663,2016-12-06,3
68.1425386,37.26728663,2016-12-07,3
68.1425386,37.26728663,2016-12-08,3
68.1425386,37.26728663,2016-12-09,3
68.1425386,37.26728663,2016-12-10,3
68.1425386,37.26728663,2016-12-11,1
68.1425386,37.26728663,2016-12-12,3
68.1425386,37.26728663,2016-12-13,3
68.1425386,37.26728663,2016-12-14,3
68.1425386,37.26728663,2016-12-15,3
68.1425386,37.26728663,2016-12-16,3
68.1425386,37.26728663,2016-12-17,3
68.1425386,37.26728663,2016-12-18,3
68.1425386,37.26728663,2016-12-19,3
68.1425386,37.26728663,2016-12-20,3
68.1425386,37.26728663,2016-12-21,3
68.1425386,37.26728663,2016-12-22,3
68.1425386,37.26728663,2016-12-23,3
68.1425386,37.26728663,2016-12-24,3
68.1425386,37.26728663,2016-12-25,3
68.1425386,37.26728663,2016-12-26,3
68.1425386,37.26728663,2016-12-27,3
68.1425386,37.26728663,2016-12-28,3
68.1425386,37.26728663,2016-12-29,3
68.1425386,37.26728663,2016-12-30,3
68.1425386,37.26728663,2017-01-01,1
68.1425386,37.26728663,2017-01-02,3
68.1425386,37.26728663,2017-01-03,3
68.1425386,37.26728663,2017-01-04,3
68.1425386,37.26728663,2017-01-05,3
68.1425386,37.26728663,2017-01-06,3
68.1425386,37.26728663,2017-01-09,3
68.1425386,37.26728663,2017-01-10,3
68.1425386,37.26728663,2017-01-11,3
68.1425386,37.26728663,2017-01-12,3
68.1425386,37.26728663,2017-01-13,1
68.1425386,37.26728663,2017-01-14,1
68.1425386,37.26728663,2017-01-15,3
68.1425386,37.26728663,2017-01-16,3
68.1425386,37.26728663,2017-01-17,3
68.1425386,37.26728663,2017-01-18,1
68.1425386,37.26728663,2017-01-19,1
68.1425386,37.26728663,2017-01-21,1
68.1425386,37.26728663,2017-01-23,3
68.1425386,37.26728663,2017-01-24,2
68.1425386,37.26728663,2017-01-25,1
68.1425386,37.26728663,2017-01-26,3
68.1425386,37.26728663,2017-01-27,2
68.1425386,37.26728663,2017-01-28,1
68.1425386,37.26728663,2017-01-30,4
68.1425386,37.26728663,2017-01-31,4
68.1425386,37.26728663,2017-02-01,2
68.1425386,37.26728663,2017-02-02,2
68.1425386,37.26728663,2017-02-04,1
68.1425386,37.26728663,2017-02-05,1
68.1425386,37.26728663,2017-02-06,1
68.1425386,37.26728663,2017-02-07,1
68.1425386,37.26728663,2017-02-08,3
68.1425386,37.26728663,2017-02-09,1
68.1425386,37.26728663,2017-02-10,1
68.1425386,37.26728663,2017-02-11,1
68.1425386,37.26728663,2017-02-12,2
68.1425386,37.26728663,2017-02-13,1
68.1425386,37.26728663,2017-02-14,4
68.1425386,37.26728663,2017-02-15,2
68.1425386,37.26728663,2017-02-16,4
68.1425386,37.26728663,2017-02-17,1
