ClusterId,lon,lat,avg_duration_hrs
132,68.92031645,39.97013038,0.6309128926473313
133,69.02077232,39.91072535,0.7917737281674316
134,68.97526276,39.97441343,1.503132807464878
135,68.73296331,39.70628987,1.34156830116597
136,70.62512999,40.120263,0.6132816042940907
137,70.57960926,40.14345155,3.3463605500301545
138,70.41509686,40.29681632,2.518424803609135
139,70.42780818,40.30465143,5.213006620180599
140,67.62777045,39.49913741,5.301708569452619
142,67.67146515,39.25535144,3.9363032001207934
143,67.51757327,39.44362207,2.4991885853747546
145,68.45320176,39.43037903,1.1406207518566758
146,70.02596037,39.44865274,1.8220327989333298
147,71.55659149,37.50950569,0.39557777471343686
148,72.16326079,38.10514726,0.7384128161337284
149,71.30864433,37.92512307,4.151041312043301
150,72.3365791,37.6991956,2.0010579251228497
